daily_study_hours,homework_completion_rate,class_participation,exam_scores,attendance_rate,online_activity,assignment_quality,study_consistency,learning_progress,peer_interaction,resource_usage,time_management,goal_setting,feedback_usage,self_assessment,collaboration_skills,problem_solving,creativity,critical_thinking,emotional_regulation,is_exam_week,is_weekend,is_holiday_period,student_id,week_number,timestamp
1.0,0.6319,0.5713,0.4073,0.5828,0.2981,0.2954,0.456,0.3038,0.3356,0.4271,0.399,0.5617,0.6435,0.4747,0.4214,0.2947,0.249,0.5115,0.316,0,0,0,S0006,1,2024-W01
1.0,0.718,0.6729,0.4041,0.613,0.1987,0.2889,0.4382,0.3082,0.3739,0.386,0.3971,0.4861,0.6174,0.5557,0.4403,0.3424,0.3275,0.5453,0.4045,0,1,0,S0006,2,2024-W02
1.0,0.8322,0.6249,0.4529,0.5469,0.3226,0.3391,0.378,0.3236,0.3475,0.504,0.4255,0.6359,0.6309,0.5108,0.5288,0.3685,0.2612,0.6588,0.3417,0,0,0,S0006,3,2024-W03
1.0,0.9455,0.587,0.4598,0.5179,0.2741,0.3562,0.4095,0.3456,0.4612,0.3403,0.3961,0.6547,0.6055,0.4906,0.5559,0.3426,0.3065,0.5686,0.4436,1,1,0,S0006,4,2024-W04
1.0,0.6283,0.735,0.538,0.5833,0.3207,0.4067,0.4161,0.3224,0.3797,0.5065,0.3907,0.6182,0.6413,0.5203,0.5111,0.3335,0.2845,0.7049,0.4221,0,0,0,S0006,5,2024-W05
1.0,0.8098,0.4907,0.5371,0.6272,0.2603,0.3736,0.4569,0.3469,0.3632,0.3886,0.4114,0.6154,0.7055,0.5282,0.5796,0.3499,0.3758,0.6888,0.4627,0,1,1,S0006,6,2024-W06
1.0,0.7901,0.4612,0.5096,0.6544,0.2286,0.3747,0.4974,0.4377,0.3371,0.3684,0.4286,0.6734,0.7028,0.5003,0.5232,0.3664,0.3188,0.6004,0.3817,0,1,1,S0006,7,2024-W07
1.0,0.8889,0.7782,0.4772,0.7355,0.3867,0.4177,0.4466,0.3735,0.4833,0.6243,0.528,0.7153,0.7912,0.6511,0.5112,0.4157,0.3987,0.6245,0.4063,1,0,0,S0006,8,2024-W08
1.0,0.593,0.6736,0.3051,0.2198,0.2007,0.2368,0.4141,0.6287,0.702,0.3653,0.5234,0.6758,0.3153,0.3774,0.2834,0.4676,0.3901,0.3566,0.4469,0,1,0,S0007,1,2024-W01
1.0,0.5948,0.7316,0.3161,0.2301,0.365,0.2421,0.4346,0.6207,0.6189,0.4532,0.519,0.6517,0.3606,0.3293,0.2851,0.408,0.4668,0.3235,0.3774,0,0,0,S0007,2,2024-W02
1.0,0.8427,0.6135,0.3894,0.2732,0.2527,0.2674,0.4584,0.5369,0.688,0.3077,0.5498,0.5928,0.2988,0.3747,0.3303,0.4662,0.4902,0.331,0.4327,0,1,0,S0007,3,2024-W03
1.0,0.9784,0.6846,0.3726,0.2609,0.3766,0.28,0.3795,0.7174,0.677,0.5027,0.5065,0.6337,0.396,0.3475,0.2689,0.3987,0.4087,0.3763,0.4904,1,0,0,S0007,4,2024-W04
1.0,0.6403,0.6976,0.3871,0.3268,0.299,0.304,0.3984,0.6787,0.7655,0.3267,0.5796,0.6669,0.3831,0.3455,0.3323,0.4574,0.4983,0.3914,0.5085,0,1,0,S0007,5,2024-W05
1.0,0.752,0.5291,0.3832,0.3306,0.329,0.3255,0.4868,0.7569,0.5278,0.5171,0.5873,0.6221,0.3422,0.4238,0.3433,0.532,0.4362,0.4378,0.4995,0,0,1,S0007,6,2024-W06
1.0,0.7564,0.6352,0.4456,0.3133,0.3558,0.2923,0.4395,0.5902,0.5737,0.5927,0.5524,0.6861,0.4075,0.4299,0.3501,0.5354,0.4462,0.4689,0.5567,0,0,1,S0007,7,2024-W07
1.0,1.0,0.6854,0.4294,0.3316,0.3564,0.3086,0.4804,0.6358,0.7784,0.543,0.6033,0.8172,0.3607,0.4569,0.3742,0.4664,0.5739,0.4833,0.5862,1,0,0,S0007,8,2024-W08
1.0,0.7419,0.6478,0.5339,0.5257,0.6616,0.2363,0.3813,0.5585,0.2873,0.6238,0.3661,0.5913,0.6022,0.5026,0.3023,0.2924,0.5062,0.6251,0.5731,0,0,0,S0008,1,2024-W01
1.0,0.8037,0.6519,0.5727,0.6306,0.577,0.283,0.3346,0.5828,0.2546,0.7499,0.3724,0.5143,0.5805,0.4645,0.3261,0.2823,0.4874,0.6675,0.6421,0,0,0,S0008,2,2024-W02
1.0,0.882,0.6103,0.5831,0.6066,0.5894,0.3032,0.3976,0.6847,0.2582,0.5908,0.3791,0.4942,0.613,0.5365,0.4201,0.3068,0.5184,0.6164,0.6427,0,0,0,S0008,3,2024-W03
1.0,0.9678,0.6028,0.5408,0.6275,0.6317,0.288,0.3988,0.6192,0.2956,0.6615,0.3785,0.5027,0.6426,0.6515,0.4431,0.2937,0.474,0.6422,0.5435,1,0,0,S0008,4,2024-W04
1.0,0.7728,0.6665,0.5648,0.5989,0.6668,0.2895,0.3475,0.7559,0.2771,0.634,0.3359,0.5513,0.5731,0.4984,0.4089,0.2605,0.4479,0.7019,0.6349,0,0,0,S0008,5,2024-W05
1.0,0.7207,0.5239,0.6751,0.7506,0.5652,0.3407,0.3657,0.6782,0.2311,0.4419,0.4399,0.6359,0.6741,0.5976,0.4278,0.3479,0.4762,0.6819,0.5665,0,1,1,S0008,6,2024-W06
1.0,0.9359,0.5749,0.618,0.6493,0.6759,0.3282,0.3795,0.7802,0.2585,0.8722,0.4571,0.5825,0.6825,0.5288,0.4554,0.309,0.548,0.6875,0.648,0,0,1,S0008,7,2024-W07
1.0,1.0,0.6741,0.6512,0.8005,0.5196,0.3268,0.3917,0.7864,0.3412,0.5984,0.4559,0.6933,0.7545,0.5595,0.4815,0.3154,0.5698,0.7744,0.7486,1,1,0,S0008,8,2024-W08
1.0,0.8317,0.6597,0.603,0.5319,0.6498,0.2681,0.3019,0.6446,0.4768,0.3901,0.2458,0.6028,0.5909,0.2346,0.5154,0.4656,0.648,0.6492,0.5057,0,0,0,S0009,1,2024-W01
1.0,0.7788,0.6511,0.6151,0.5925,0.7305,0.255,0.3135,0.6141,0.4723,0.4827,0.238,0.5502,0.5993,0.2793,0.5096,0.6053,0.5731,0.6662,0.5574,0,0,0,S0009,2,2024-W02
1.0,0.964,0.6147,0.6335,0.6393,0.6974,0.2768,0.3629,0.6295,0.5122,0.4036,0.2786,0.6298,0.6379,0.2874,0.5657,0.589,0.7691,0.7446,0.4638,0,0,0,S0009,3,2024-W03
1.0,1.0,0.7567,0.6954,0.6476,0.5086,0.3239,0.3667,0.5735,0.5794,0.2921,0.3352,0.5523,0.6207,0.3088,0.5163,0.5325,0.6985,0.6918,0.4669,1,1,0,S0009,4,2024-W04
1.0,0.7956,0.6708,0.7303,0.6488,0.494,0.338,0.3579,0.6385,0.589,0.3582,0.2968,0.6608,0.6438,0.3525,0.5671,0.5472,0.7618,0.6972,0.503,0,1,0,S0009,5,2024-W05
1.0,0.9247,0.574,0.8235,0.7673,0.5473,0.3337,0.3333,0.617,0.3852,0.3604,0.283,0.6638,0.7735,0.3582,0.4971,0.5604,0.6901,0.7776,0.5463,0,1,1,S0009,6,2024-W06
1.0,1.0,0.5593,0.7889,0.7596,0.8646,0.3749,0.4091,0.7535,0.4696,0.4496,0.3048,0.632,0.7027,0.3421,0.6415,0.5301,0.6919,0.848,0.5308,0,0,1,S0009,7,2024-W07
1.0,1.0,0.8755,0.8199,0.7042,0.6588,0.3312,0.338,0.7596,0.6346,0.3738,0.2987,0.6263,0.847,0.326,0.633,0.6407,0.7756,0.8605,0.5194,1,1,0,S0009,8,2024-W08
1.0,0.7844,0.561,0.5235,0.415,0.2057,0.4224,0.5398,0.5414,0.3491,0.2101,0.3104,0.3831,0.5388,0.6997,0.5411,0.7112,0.4998,0.3195,0.341,0,1,0,S0010,1,2024-W01
1.0,0.8276,0.5188,0.6154,0.4698,0.1821,0.4993,0.735,0.6295,0.2925,0.25,0.2801,0.4106,0.5104,0.6254,0.5499,0.7564,0.501,0.2902,0.3085,0,1,0,S0010,2,2024-W02
1.0,0.929,0.6421,0.675,0.3736,0.2326,0.5252,0.7674,0.5372,0.362,0.2488,0.3011,0.4941,0.6675,0.7803,0.6076,0.6898,0.5182,0.325,0.3504,0,1,0,S0010,3,2024-W03
1.0,0.882,0.5324,0.7042,0.4484,0.2232,0.5918,0.654,0.5728,0.3281,0.2262,0.2759,0.5164,0.6574,0.7321,0.754,0.6336,0.528,0.3521,0.3904,1,1,0,S0010,4,2024-W04
1.0,0.8874,0.6904,0.7839,0.513,0.3106,0.5653,0.7433,0.5692,0.2969,0.3466,0.3497,0.5557,0.6522,0.6514,0.6708,0.672,0.6244,0.384,0.3428,0,0,0,S0010,5,2024-W05
1.0,0.9682,0.5557,0.7329,0.5026,0.199,0.6524,0.6422,0.5494,0.3283,0.2245,0.365,0.571,0.6697,0.7447,0.7153,0.7429,0.6737,0.4326,0.3373,0,1,1,S0010,6,2024-W06
1.0,0.8713,0.584,0.8124,0.5295,0.216,0.6565,0.7672,0.5578,0.2613,0.2318,0.2789,0.4969,0.6535,0.7812,0.6291,0.7384,0.5973,0.4263,0.3854,0,1,1,S0010,7,2024-W07
1.0,1.0,0.7468,0.8124,0.4776,0.2294,0.6671,0.8406,0.6834,0.3555,0.2474,0.3228,0.5948,0.7453,0.8349,0.8173,0.683,0.6489,0.4144,0.4452,1,1,0,S0010,8,2024-W08
1.0,0.7813,0.6084,0.2951,0.3293,0.4213,0.393,0.3708,0.6991,0.5729,0.3646,0.38,0.3254,0.535,0.6808,0.6622,0.5625,0.5836,0.478,0.4518,0,1,0,S0011,1,2024-W01
1.0,0.7529,0.6275,0.3051,0.3362,0.8097,0.3749,0.3407,0.7428,0.5236,0.5034,0.3819,0.3303,0.6236,0.6225,0.6138,0.6802,0.4874,0.4596,0.3645,0,0,0,S0011,2,2024-W02
1.0,0.8838,0.7332,0.3299,0.3154,0.5221,0.3934,0.3959,0.7927,0.5382,0.4451,0.3274,0.3066,0.5492,0.6882,0.6971,0.7053,0.4816,0.3942,0.411,0,1,0,S0011,3,2024-W03
1.0,1.0,0.8128,0.3496,0.2883,0.4565,0.4147,0.3581,0.6638,0.6014,0.4277,0.3295,0.3844,0.6494,0.706,0.7752,0.6635,0.5442,0.4968,0.4133,1,1,0,S0011,4,2024-W04
1.0,0.8104,0.616,0.4152,0.3804,0.7192,0.4214,0.3753,0.8142,0.5749,0.5183,0.3627,0.3859,0.696,0.719,0.7553,0.7118,0.627,0.4632,0.4006,0,0,0,S0011,5,2024-W05
1.0,0.943,0.6156,0.3976,0.3061,0.8587,0.5212,0.3865,0.7624,0.489,0.6173,0.404,0.3284,0.6204,0.7127,0.6948,0.7347,0.6688,0.4817,0.4931,0,0,1,S0011,6,2024-W06
1.0,1.0,0.5893,0.4033,0.3777,0.8179,0.4796,0.3471,0.7903,0.4319,0.6769,0.4173,0.4107,0.7626,0.6976,0.7245,0.5975,0.5865,0.5417,0.5237,0,0,1,S0011,7,2024-W07
1.0,1.0,0.754,0.3948,0.3914,0.5485,0.471,0.3666,0.6792,0.6874,0.5097,0.3766,0.3552,0.6721,0.8732,0.7089,0.7104,0.6881,0.554,0.5015,1,1,0,S0011,8,2024-W08
1.0,0.8019,0.5338,0.5433,0.3306,0.4496,0.4145,0.6425,0.6345,0.2179,0.1699,0.2747,0.5797,0.2686,0.2818,0.595,0.242,0.4302,0.3283,0.4791,0,1,0,S0012,1,2024-W01
1.0,0.8536,0.5289,0.5074,0.3415,0.4103,0.4215,0.6144,0.6002,0.2315,0.1885,0.2218,0.6168,0.2877,0.3077,0.6909,0.2886,0.4456,0.3916,0.5823,0,1,0,S0012,2,2024-W02
1.0,0.9598,0.6046,0.5818,0.3693,0.6993,0.4973,0.6507,0.6102,0.2231,0.2553,0.25,0.6941,0.2468,0.2994,0.6139,0.2643,0.4608,0.3587,0.6259,0,0,0,S0012,3,2024-W03
1.0,1.0,0.5344,0.5494,0.3764,0.5506,0.5484,0.7507,0.6787,0.2567,0.2578,0.3023,0.7448,0.2631,0.3141,0.6451,0.2813,0.4942,0.3941,0.5669,1,0,0,S0012,4,2024-W04
1.0,0.7639,0.6635,0.6601,0.3753,0.5116,0.5121,0.752,0.5804,0.295,0.2223,0.2742,0.6163,0.2616,0.3143,0.6398,0.3186,0.4603,0.4088,0.6493,0,1,0,S0012,5,2024-W05
1.0,0.8479,0.496,0.6885,0.3163,0.4647,0.6298,0.7086,0.7793,0.2277,0.2104,0.292,0.7401,0.2668,0.2943,0.6867,0.3024,0.4818,0.4432,0.6817,0,1,1,S0012,6,2024-W06
1.0,0.8715,0.4672,0.6705,0.4251,0.5205,0.5158,0.8507,0.709,0.2416,0.2341,0.3165,0.7181,0.2586,0.3108,0.8364,0.3393,0.5002,0.4263,0.6532,0,1,1,S0012,7,2024-W07
1.0,1.0,0.6269,0.7246,0.4369,0.756,0.591,0.8074,0.7196,0.2529,0.3322,0.3253,0.7462,0.2984,0.3504,0.8305,0.2985,0.4746,0.4752,0.7461,1,0,0,S0012,8,2024-W08
1.0,0.7391,0.6528,0.6258,0.5536,0.3233,0.561,0.6555,0.5828,0.6745,0.2665,0.4611,0.5084,0.336,0.5657,0.321,0.2869,0.2762,0.5219,0.4772,0,1,0,S0013,1,2024-W01
1.0,0.8635,0.514,0.5913,0.5452,0.3632,0.6444,0.5377,0.7659,0.538,0.2863,0.4896,0.5574,0.3548,0.523,0.2836,0.2852,0.2901,0.5433,0.4069,0,1,0,S0013,2,2024-W02
1.0,1.0,0.5723,0.7095,0.5582,0.4151,0.5798,0.5661,0.6699,0.5866,0.318,0.4709,0.5068,0.413,0.499,0.2738,0.313,0.2497,0.5039,0.5175,0,1,0,S0013,3,2024-W03
1.0,0.972,0.657,0.7027,0.5992,0.5791,0.6547,0.5817,0.6807,0.6396,0.4439,0.5469,0.5227,0.3867,0.4708,0.3567,0.3027,0.2408,0.5845,0.5706,1,0,0,S0013,4,2024-W04
1.0,0.8187,0.615,0.6787,0.5619,0.5558,0.6421,0.7639,0.8085,0.7478,0.3825,0.6619,0.5713,0.3969,0.5063,0.3529,0.3456,0.3025,0.6181,0.4569,0,0,0,S0013,5,2024-W05
1.0,0.8737,0.4665,0.73,0.6513,0.3737,0.7138,0.7542,0.6779,0.471,0.2878,0.6278,0.557,0.3878,0.5235,0.3103,0.3182,0.2949,0.6289,0.5056,0,1,1,S0013,6,2024-W06
1.0,1.0,0.4961,0.8048,0.7051,0.4227,0.6641,0.6769,0.8408,0.617,0.3606,0.5675,0.6153,0.4916,0.6327,0.3868,0.2941,0.326,0.5014,0.5363,0,1,1,S0013,7,2024-W07
1.0,1.0,0.7715,0.6904,0.6164,0.5698,0.7353,0.7209,0.7979,0.7191,0.5133,0.6,0.5419,0.4521,0.6987,0.3177,0.3908,0.3511,0.5167,0.6157,1,0,0,S0013,8,2024-W08
1.0,0.6594,0.7258,0.3413,0.5281,0.4787,0.5963,0.4179,0.5495,0.4816,0.2719,0.3005,0.3195,0.4248,0.6073,0.6225,0.393,0.5165,0.2679,0.3506,0,0,0,S0014,1,2024-W01
1.0,0.7571,0.6544,0.3669,0.6242,0.4306,0.625,0.4058,0.4798,0.4715,0.2647,0.2921,0.3499,0.4651,0.6704,0.6586,0.4204,0.655,0.3138,0.3025,0,0,0,S0014,2,2024-W02
1.0,0.7201,0.6825,0.4249,0.6215,0.4085,0.6715,0.414,0.577,0.4504,0.2061,0.2941,0.325,0.4072,0.6589,0.6142,0.4571,0.5204,0.3024,0.3147,0,1,0,S0014,3,2024-W03
1.0,0.9513,0.792,0.444,0.7003,0.3956,0.6574,0.4098,0.6234,0.5406,0.2144,0.3453,0.3618,0.4413,0.6363,0.671,0.4799,0.6027,0.2864,0.3752,1,1,0,S0014,4,2024-W04
1.0,0.8284,0.7867,0.4834,0.7232,0.3663,0.7205,0.4763,0.5286,0.4818,0.2174,0.3378,0.4358,0.5102,0.7232,0.5931,0.4075,0.5859,0.2958,0.3849,0,1,0,S0014,5,2024-W05
1.0,0.7211,0.6285,0.4974,0.652,0.3849,0.7794,0.4596,0.5301,0.3821,0.2097,0.3707,0.3945,0.5024,0.7361,0.7696,0.4961,0.5886,0.3639,0.3678,0,1,1,S0014,6,2024-W06
1.0,0.8474,0.5268,0.4689,0.7092,0.5259,0.7728,0.4444,0.6026,0.4559,0.3489,0.3212,0.3713,0.4685,0.6555,0.6479,0.4196,0.5794,0.3041,0.4454,0,0,1,S0014,7,2024-W07
1.0,1.0,0.819,0.4854,0.8183,0.4484,0.8227,0.4176,0.59,0.6091,0.2613,0.3224,0.4882,0.5278,0.8518,0.8531,0.4921,0.7182,0.3404,0.3752,1,1,0,S0014,8,2024-W08
1.0,0.639,0.5863,0.3352,0.2567,0.2501,0.4471,0.4186,0.5403,0.4838,0.581,0.4335,0.4367,0.4956,0.47,0.5628,0.6003,0.4869,0.6848,0.4224,0,0,0,S0015,1,2024-W01
1.0,0.6505,0.772,0.4116,0.2767,0.1847,0.4944,0.3941,0.5863,0.5327,0.4751,0.4654,0.5146,0.4731,0.4366,0.5567,0.5272,0.5379,0.7366,0.5197,0,1,0,S0015,2,2024-W02
1.0,0.7269,0.6851,0.4175,0.3041,0.2249,0.4891,0.4395,0.5384,0.5189,0.7209,0.5608,0.4688,0.5343,0.4885,0.6598,0.6485,0.5546,0.6211,0.5019,0,0,0,S0015,3,2024-W03
1.0,0.9772,0.7584,0.4013,0.3055,0.2373,0.5084,0.4927,0.6063,0.6384,0.641,0.5687,0.4689,0.6052,0.5312,0.6405,0.589,0.5113,0.7719,0.4849,1,0,0,S0015,4,2024-W04
1.0,0.6997,0.8327,0.4436,0.3416,0.2469,0.5456,0.4151,0.6895,0.6189,0.7212,0.5744,0.6219,0.6364,0.5224,0.7858,0.6052,0.6088,0.6201,0.5198,0,0,0,S0015,5,2024-W05
1.0,0.7029,0.6159,0.4754,0.2899,0.2634,0.5657,0.4245,0.5561,0.4763,0.6915,0.4972,0.6366,0.5942,0.5008,0.711,0.6283,0.5638,0.7703,0.4682,0,0,1,S0015,6,2024-W06
1.0,1.0,0.6927,0.473,0.3448,0.182,0.626,0.4991,0.5983,0.5582,0.4333,0.4886,0.5935,0.5296,0.5481,0.639,0.6864,0.6541,0.8405,0.5943,0,1,1,S0015,7,2024-W07
