source,target,type,weight,features
2,1026,takes,0.6,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.6}"
2,1012,takes,0.58,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.58}"
2,1013,takes,0.68,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.68}"
2,1018,takes,0.76,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.76}"
2,1023,takes,0.39,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.39}"
2,1027,takes,0.84,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.84}"
3,1009,takes,0.84,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.84}"
3,1028,takes,0.74,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.74}"
3,1029,takes,0.73,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.73}"
3,1030,takes,0.64,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.64}"
3,1024,takes,0.75,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.75}"
3,1027,takes,0.6,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.6}"
3,1016,takes,0.6,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.6}"
3,1018,takes,0.8,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.8}"
3,1023,takes,0.73,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.73}"
3,1020,takes,0.62,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.62}"
4,1009,takes,0.88,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.88}"
4,1021,takes,0.81,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.81}"
4,1017,takes,0.78,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.78}"
4,1018,takes,0.65,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.65}"
4,1020,takes,0.82,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.82}"
4,1023,takes,0.6,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.6}"
4,1030,takes,0.61,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.61}"
4,1025,takes,0.68,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.68}"
4,1031,takes,0.61,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.61}"
5,1008,takes,0.9,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.9}"
5,1022,takes,0.75,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.75}"
5,1028,takes,0.35,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.35}"
5,1027,takes,0.65,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.65}"
5,1012,takes,0.75,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.75}"
5,1018,takes,0.69,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.69}"
5,1031,takes,0.66,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.66}"
5,1014,takes,0.65,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.65}"
5,1020,takes,0.8,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.8}"
5,1032,takes,0.78,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.78}"
5,1013,takes,0.73,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.73}"
6,1022,takes,0.63,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.63}"
6,1009,takes,0.91,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.91}"
6,1033,takes,0.91,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.91}"
6,1032,takes,0.72,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.72}"
6,1021,takes,0.86,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.86}"
6,1025,takes,0.61,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.61}"
6,1031,takes,0.59,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.59}"
6,1020,takes,0.63,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.63}"
6,1016,takes,0.66,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.66}"
6,1015,takes,0.7,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.7}"
6,1024,takes,0.61,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.61}"
6,1023,takes,0.64,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.64}"
6,1014,takes,0.69,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.69}"
6,1027,takes,0.54,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.54}"
6,1026,takes,0.76,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.76}"
7,1022,takes,0.73,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.73}"
7,1024,takes,0.85,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.85}"
7,1029,takes,0.35,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.35}"
7,1010,takes,0.72,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.72}"
7,1033,takes,0.91,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.91}"
7,1025,takes,0.83,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.83}"
7,1028,takes,0.38,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.38}"
7,1034,takes,0.74,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.74}"
7,1012,takes,0.77,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.77}"
8,1014,takes,0.69,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.69}"
8,1030,takes,0.76,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.76}"
8,1029,takes,0.59,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.59}"
8,1012,takes,0.63,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.63}"
8,1023,takes,0.73,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.73}"
8,1010,takes,0.7,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.7}"
8,1026,takes,0.82,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.82}"
8,1028,takes,0.44,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.44}"
8,1020,takes,0.78,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.78}"
8,1035,takes,0.65,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.65}"
8,1013,takes,0.7,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.7}"
8,1025,takes,0.74,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.74}"
9,1022,takes,0.79,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.79}"
9,1033,takes,0.77,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.77}"
9,1025,takes,0.59,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.59}"
9,1027,takes,0.84,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.84}"
9,1016,takes,0.61,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.61}"
9,1012,takes,0.79,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.79}"
9,1028,takes,0.6,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.6}"
9,1029,takes,0.58,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.58}"
9,1021,takes,0.92,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.92}"
10,1008,takes,0.7,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.7}"
10,1025,takes,0.61,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.61}"
10,1031,takes,0.65,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.65}"
10,1016,takes,0.72,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.72}"
10,1019,takes,0.79,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.79}"
10,1018,takes,0.75,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.75}"
10,1033,takes,0.84,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.84}"
10,1027,takes,0.76,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.76}"
10,1010,takes,0.72,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.72}"
10,1035,takes,0.68,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.68}"
10,1026,takes,0.76,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2024, 'interest_level': 0.76}"
10,1028,takes,0.73,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2024, 'interest_level': 0.73}"
10,1012,takes,0.74,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2024, 'interest_level': 0.74}"
10,1024,takes,0.76,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2024, 'interest_level': 0.76}"
10,1017,takes,0.78,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2024, 'interest_level': 0.78}"
11,1008,takes,0.51,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.51}"
11,1009,takes,0.74,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.74}"
11,1033,takes,0.72,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.72}"
11,1036,takes,0.8,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.8}"
11,1014,takes,0.64,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.64}"
11,1013,takes,0.6,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.6}"
11,1026,takes,0.77,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.77}"
11,1031,takes,0.6,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.6}"
11,1024,takes,0.77,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.77}"
11,1028,takes,0.67,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.67}"
11,1012,takes,0.79,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.79}"
11,1018,takes,0.73,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.73}"
11,1035,takes,0.76,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.76}"
12,1009,takes,0.75,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.75}"
12,1033,takes,0.77,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.77}"
12,1025,takes,0.8,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.8}"
12,1021,takes,0.95,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.95}"
12,1026,takes,0.68,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.68}"
12,1012,takes,0.73,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.73}"
12,1028,takes,0.75,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.75}"
12,1019,takes,0.73,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.73}"
12,1034,takes,0.78,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.78}"
12,1015,takes,0.56,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.56}"
12,1018,takes,0.58,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.58}"
12,1016,takes,0.61,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.61}"
13,1009,takes,0.84,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.84}"
13,1032,takes,0.5,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.5}"
13,1016,takes,0.58,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.58}"
13,1024,takes,0.67,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.67}"
13,1031,takes,0.69,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.69}"
13,1012,takes,0.85,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.85}"
13,1029,takes,0.69,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.69}"
13,1011,takes,0.65,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.65}"
13,1010,takes,0.57,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.57}"
13,1030,takes,0.55,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.55}"
14,1022,takes,0.56,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.56}"
14,1009,takes,0.72,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.72}"
14,1021,takes,0.93,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.93}"
14,1032,takes,0.85,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.85}"
14,1028,takes,0.57,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.57}"
14,1013,takes,0.6,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.6}"
14,1011,takes,0.57,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.57}"
14,1035,takes,0.83,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.83}"
15,1022,takes,0.63,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.63}"
15,1008,takes,0.82,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.82}"
15,1033,takes,0.78,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.78}"
15,1025,takes,0.77,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.77}"
15,1011,takes,0.73,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.73}"
15,1031,takes,0.68,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.68}"
15,1030,takes,0.77,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.77}"
15,1029,takes,0.57,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.57}"
15,1036,takes,0.85,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.85}"
15,1034,takes,0.77,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.77}"
15,1027,takes,0.7,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.7}"
15,1016,takes,0.46,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.46}"
15,1010,takes,0.59,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.59}"
15,1013,takes,0.64,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.64}"
15,1015,takes,0.59,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.59}"
16,1009,takes,0.73,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.73}"
16,1012,takes,0.73,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.73}"
16,1010,takes,0.58,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.58}"
16,1023,takes,0.77,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.77}"
16,1024,takes,0.47,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.47}"
16,1031,takes,0.44,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.44}"
16,1028,takes,0.56,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.56}"
16,1030,takes,0.85,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.85}"
17,1009,takes,0.75,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.75}"
17,1033,takes,0.76,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.76}"
17,1036,takes,0.88,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.88}"
17,1027,takes,0.72,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.72}"
17,1026,takes,0.84,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.84}"
17,1024,takes,0.52,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.52}"
17,1029,takes,0.77,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.77}"
17,1030,takes,0.76,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.76}"
18,1022,takes,0.78,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.78}"
18,1009,takes,0.71,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.71}"
18,1008,takes,0.9,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.9}"
18,1021,takes,0.87,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.87}"
18,1034,takes,0.7,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.7}"
18,1028,takes,0.59,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.59}"
18,1015,takes,0.64,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.64}"
18,1035,takes,0.7,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.7}"
18,1012,takes,0.75,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.75}"
18,1017,takes,0.73,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.73}"
18,1016,takes,0.79,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.79}"
18,1030,takes,0.71,"{'enrollment_status': 1, 'semester': '第六学期', 'year': 2023, 'interest_level': 0.71}"
18,1019,takes,0.49,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2024, 'interest_level': 0.49}"
18,1014,takes,0.8,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2024, 'interest_level': 0.8}"
19,1022,takes,0.71,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.71}"
19,1008,takes,0.75,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.75}"
19,1023,takes,0.61,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.61}"
19,1033,takes,0.93,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.93}"
19,1014,takes,0.66,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.66}"
19,1017,takes,0.69,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.69}"
19,1031,takes,0.79,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.79}"
19,1015,takes,0.71,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.71}"
19,1032,takes,0.89,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.89}"
19,1035,takes,0.82,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.82}"
19,1026,takes,0.69,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.69}"
19,1036,takes,0.86,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.86}"
20,1022,takes,0.67,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.67}"
20,1010,takes,0.73,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.73}"
20,1015,takes,0.64,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.64}"
20,1035,takes,0.71,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.71}"
20,1012,takes,0.81,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.81}"
20,1016,takes,0.63,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.63}"
20,1021,takes,0.72,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.72}"
20,1031,takes,0.69,"{'enrollment_status': 1, 'semester': '第四学期', 'year': 2023, 'interest_level': 0.69}"
20,1017,takes,0.64,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.64}"
20,1014,takes,0.68,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.68}"
20,1033,takes,0.72,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.72}"
20,1032,takes,0.71,"{'enrollment_status': 1, 'semester': '第五学期', 'year': 2023, 'interest_level': 0.71}"
21,1009,takes,0.81,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.81}"
21,1036,takes,0.69,"{'enrollment_status': 1, 'semester': '第一学期', 'year': 2023, 'interest_level': 0.69}"
21,1035,takes,0.78,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.78}"
21,1023,takes,0.61,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.61}"
21,1029,takes,0.67,"{'enrollment_status': 1, 'semester': '第二学期', 'year': 2023, 'interest_level': 0.67}"
21,1031,takes,0.72,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.72}"
21,1030,takes,0.65,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.65}"
21,1011,takes,0.81,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.81}"
21,1016,takes,0.63,"{'enrollment_status': 1, 'semester': '第三学期', 'year': 2023, 'interest_level': 0.63}"
